symphony,ticker,ticker_allocation_percent,price
B692Q240313,AR,100.0,33.38
anan240409,SPLV,50.0,64.29
anan240409,UUP,50.0,28.77
cntrb240311,BIL,40.5,91.76
cntrb240311,BTAL,7.5,19.03
cntrb240311,DRV,8.99,44.43
cntrb240311,GLD,7.5,215.92
cntrb240311,SQQQ,4.5,12.0
cntrb240311,USDU,30.0,26.62
cntrb240311,YANG,1.0,9.82
dynm240304,BIL,20.0,91.76
dynm240304,BTAL,5.0,19.03
dynm240304,GLD,5.0,215.92
dynm240304,QQQ,10.0,424.45
dynm240304,SQQQ,10.0,12.0
dynm240304,TMF,20.0,43.29
dynm240304,TMV,10.0,41.73
dynm240304,TQQQ,10.0,52.81
dynm240304,UDOW,10.0,74.0
mnvol240104,AAPL,2.68,169.89
mnvol240104,BIL,8.03,91.76
mnvol240104,BTAL,11.08,19.03
mnvol240104,COST,2.68,721.86
mnvol240104,GOOGL,2.68,156.0
mnvol240104,SPXU,14.53,36.56
mnvol240104,SVXY,0.76,54.25
mnvol240104,TLT,3.4,87.78
mnvol240104,TMF,30.0,43.29
mnvol240104,UUP,8.86,28.77
mnvol240104,XLP,15.3,75.75
q1stk240409,BIL,12.23,91.76
q1stk240409,BTAL,3.96,19.03
q1stk240409,DUSL,3.35,51.08
q1stk240409,GLD,5.53,215.92
q1stk240409,IEF,7.36,91.24
q1stk240409,PSQ,10.01,46.03
q1stk240409,SHV,10.01,110.44
q1stk240409,SPLV,10.53,64.29
q1stk240409,SVXY,2.07,54.25
q1stk240409,TBT,3.35,38.28
q1stk240409,TLT,10.01,87.78
q1stk240409,TMF,5.53,43.29
q1stk240409,TMV,5.53,41.73
q1stk240409,UUP,10.53,28.77
sbsns240311,DUST,10.0,7.84
sbsns240311,EDZ,10.0,10.79
sbsns240311,PDBC,10.0,14.29
sbsns240311,PSQ,4.38,46.03
sbsns240311,SOXL,15.0,37.45
sbsns240311,SPLV,5.0,64.29
sbsns240311,SQQQ,11.87,12.0
sbsns240311,SVXY,1.45,54.25
sbsns240311,TMV,10.0,41.73
sbsns240311,TNA,5.0,34.37
sbsns240311,TQQQ,0.77,52.81
sbsns240311,TZA,10.0,20.59
sbsns240311,UDOW,0.77,74.0
sbsns240311,UPRO,0.77,62.07
sbsns240311,XLP,5.0,75.75
slwrl240226,BGX,8.76,12.11
slwrl240226,BIL,12.0,91.76
slwrl240226,BTAL,40.82,19.03
slwrl240226,IEF,4.37,91.24
slwrl240226,QQQ,5.82,424.45
slwrl240226,SPXS,1.01,9.89
slwrl240226,SPXU,14.24,36.56
slwrl240226,SQQQ,3.0,12.0
slwrl240226,SVIX,0.01,38.61
slwrl240226,SVXY,0.75,54.25
slwrl240226,TMV,8.01,41.73
slwrl240226,VIXM,1.17,15.58
